id	context
bcc5630960932198b83f7f446a700cc3d20ba03a	" Most of the film is told as flashback: Puff (Rhys Ifans) testifies to Congress, Lila Jute (Patricia Arquette) tells her story to the police, while a dead Nathan Bronfman (Tim Robbins) addresses an unseen audience in the netherworld.
Lila is a woman with a rare hormonal imbalance which causes thick hair to grow all over her body. During her 20s, Lila decides to leave society and live within nature where she feels free to exist comfortably in her natural state. She writes a successful book about her naked, savage, happy, and free life in the woods embracing nature. Then, at age 30, strong sexual desire causes her to return to civilization and have her hair removed in order to find a partner.
The partner she finds is Dr. Nathan Bronfman, a psychologist researching the possibility of teaching table manners to mice. Lila and Nathan go hiking in the woods one day. Lila sights a naked man in the woods who has believed himself to be an ape his entire life. Lila discards her clothes and chases him until he's cornered on a tree branch. The man falls off the branch and fall unconscious as Nathan comes along. Nathan brings this man to his lab where the man is named Puff. This name is after his French research assistant, Gabrielle's (Miranda Otto) childhood dog. We discover later from her phone call to an unknown person that she is actually an American with a fake French accent. First with the help of Gabrielle and later with Lilaâs help, Nathan performs extensive manner training on Puff, so that he can speak and go through the motions of appreciating high culture, though he still has difficulty controlling sexual urges.
To demonstrate his success, Nathan takes Puff on tour. Puff secretly drinks heavily and patronizes prostitutes. Meanwhile, Nathan and Lila's relationship deteriorates and Nathan has an affair with Gabrielle. Eventually Lila decides to take Puff back into the forest to undo his manner training and return him to his natural state.
Lila and Puff live naked in the woods together until Nathan finds them one day and Puff kills Nathan. Lila turns herself in as the murderer and asks Puff to testify on the waywardness of humanity before he returns to his home in the forest.
After the reporters and spectators leave, Puff comes back out of the forest and gets into a car with Gabrielle. They both drive off to get food (she still speaks with a French accent).
At the end of the film, there is a philosophical passage read while the credits appear. It is an excerpt of William of Ockham from Opera Theologica in which Ockham explains his theory of intuitive cognition. ""Intuitive cognition is such that when some things are cognized, of which one inheres in the other, or one is spatially distant from the other, or exists in some relation to the other, immediately in virtue of that non-propositional cognition of those things, it is known if the thing inheres or does not inhere, if it is spatially distant or not, and the same for other true contingent propositions, unless that cognition is flawed or there is some impediment."""
d81debbae25eebaf6ac998a0059eaa08cc7be5bc	" Walter Burns (Cary Grant) is a hard-boiled editor for The Morning Post who learns his ex-wife and former star reporter, Hildegard ""Hildy"" Johnson (Rosalind Russell), is about to marry bland insurance man Bruce Baldwin (Ralph Bellamy) and settle down to a quiet life as a wife and mother in Albany, New York. Walter determines to sabotage these plans, enticing the reluctant Hildy to cover one last story, the upcoming execution of convicted murderer Earl Williams (John Qualen).
Walter does everything he can to keep Hildy from leaving, including setting Bruce up so he gets arrested over and over again on trumped-up charges. He even kidnaps Hildy's stern mother-in-law-to-be (Alma Kruger). When Williams escapes from the bumbling sheriff (Gene Lockhart) and practically falls into Hildy's lap, the lure of a big scoop proves too much for her. She is so consumed with writing the story that she hardly notices as Bruce realizes his cause is hopeless and returns to Albany.
The crooked mayor (Clarence Kolb) and sheriff need the publicity from the execution to keep their jobs in an upcoming election, so when a messenger (Billy Gilbert) brings them a reprieve from the governor, they try to bribe the man to go away and return later, when it will be too late. Walter and Hildy find out in time to save Walter from being arrested for kidnapping.
Afterward, Walter offers to remarry Hildy, promising to take her on the honeymoon they never had in Niagara Falls, but then Walter learns that there is a newsworthy strike in Albany, which is on the way to Niagara Falls by train."
e4081796caf2b0354f1fc78626b7a74396979e5b	" Max Cohen is the story's protagonist and unreliable narrator. Unemployed and living in a drab Chinatown apartment in New York City, Max is a number theorist who believes that everything in nature can be understood through numbers. He is capable of doing simple arithmetic calculations involving large numbers in his head, a skill that impresses Jenna, a very young Chinese-American girl with a calculator who lives in his apartment building. Max also suffers from cluster headaches, as well as extreme paranoia, hallucinations, and social anxiety disorder. Other than Devi, a young woman living next door who sometimes speaks to him, Max's only social interaction is with Sol Robeson, his old mathematics mentor who is now an invalid.
Max begins making stock predictions based on the calculations of his computer, Euclid. In the middle of printing out its picks, Euclid suddenly crashes after spitting out a seemingly random 216-digit number, as well as a single pick at one-tenth its current value. Disgusted, Max tosses out the printout of the number. The next morning, he checks the financial pages and sees that the pick Euclid made was accurate. He searches desperately for the printout but cannot find it. Sol becomes unnerved when Max mentions the number, asking if it contained 216 digits. When Max questions him about the number, Sol indicates that he came across it many years ago. He urges Max to slow down and try taking a break.
At a coffee shop that he frequents on a daily basis, Max meets Lenny Meyer, a Hasidic Jew who coincidentally does mathematical research on the Torah. Lenny demonstrates some simple Gematria, the correspondence of the Hebrew alphabet to numbers, and explains how some people believe that the Torah is a string of numbers that form a code sent by God. Max takes an interest when he realizes that some of the number concepts Lenny discusses are similar to other mathematical concepts, such as the Fibonacci sequence. Max is also met by agents of a Wall Street firm who are interested in his work. One of the agents, Marcy Dawson, offers Max a classified computer chip called ""Ming Mecca"" in exchange for the results of his work, which Max eventually accepts.
Using the chip, Max has Euclid analyze mathematical patterns in the Torah. Euclid spits out the 216-digit number before crashing again. When his computer refuses to print out the number, Max begins to write it down. Midway through the writing, Max realizes that he knows the pattern, undergoes a sudden epiphany, and passes out. Thereafter, Max appears to become clairvoyant and is able to visualize the stock market patterns he had been searching for. But his headaches also increase in intensity, and he discovers a strange vein-like bulge protruding from his right temple. Max has a falling out with Sol after the latter urges him to quit his work.
One evening, Dawson and her agents grab Max on the street and try to force him to explain the number. They had found the original printout that Max threw away and had been trying to use it to manipulate the stock market in their favor, but as a result, caused it to crash. Although Max is held at gunpoint, Lenny drives by and rescues him. However, Lenny and his companions make similar demands on Max to give them the number. They take him to a nearby synagogue where they finally reveal their intentions: they believe the 216-number was meant for them to bring about the messianic age, as the number represents the unspeakable name of God. Max refuses, insisting that whatever the source of the number is, it has been revealed to him alone.
Max flees and tries to visit Sol, only to find out from his daughter, Jenny, that he has just died from another stroke. Max searches Sol's apartment and finds mathematical scribblings similar to his own, eventually finding a piece of paper with the number. Back in his own apartment, Max is driven to the brink of madness when he experiences another headache and resists the urge to take his painkillers, which causes him to destroy some of the parts of Euclid. Believing that the number and the headaches are linked, Max tries to concentrate on the number through the pain. After passing out, Max has a vision of himself standing in a white void and repeating the digits of the number. The vision ends with Max hugging Devi, who turns out to be a hallucination. Max stands alone in his trashed apartment. Max burns the paper with the number and blithely performs an impromptu trepanning on himself in the right cerebral hemisphere with a power drill.
Later, in the final scene, Jenna approaches Max in a park asking math problems, including 748 รท 238, which is an approximation for Pi. Max smiles and claims that he doesn't know the answer to them. No longer able to solve complex mathematics or experience headaches or paranoid thoughts, Max sits on the park bench and observes the trees blowing in the breeze, at peace."
83a1fd492021ceb110451d65888072daf64a5d4f	" On June 17, 1972, a security guard (Frank Wills, playing himself) at the Watergate complex finds a door kept unlocked with tape. He calls the police, who find and arrest five burglars in the Democratic National Committee headquarters within the complex. The next morning, The Washington Post assigns new reporter Bob Woodward (Robert Redford) to the local courthouse to cover the story, which is thought to be of minor importance.
Woodward learns that the five men, four Cuban-Americans from Miami and James W. McCord, Jr., had bugging equipment and have their own ""country club"" attorney. At the arraignment, McCord identifies himself in court as having recently left the Central Intelligence Agency and the others also have CIA ties. Woodward connects the burglars to E. Howard Hunt, a former employee of the CIA, and President Richard Nixon's Special Counsel Charles Colson.
Carl Bernstein (Dustin Hoffman), another Post reporter, is assigned to cover the Watergate story with Woodward. The two are reluctant partners, but work well together. Executive editor Benjamin Bradlee (Jason Robards) believes their work is incomplete, however, and not worthy of the Post's front page. He encourages them to continue to gather information.
Woodward contacts ""Deep Throat"" (Hal Holbrook), a senior government official, an anonymous source he has used in the past. Communicating through copies of The New York Times and a balcony flowerpot, they meet in a parking garage in the middle of the night. Deep Throat speaks in riddles and metaphors about the Watergate break-in, but advises Woodward to ""follow the money.""
Over the next few weeks, Woodward and Bernstein connect the five burglars to thousands of dollars in diverted campaign contributions to Nixon's Committee to Re-elect the President (CRP, or CREEP). Bradlee and others at the Post dislike the two young reporters' reliance on unnamed sources like Deep Throat, and wonder why the Nixon administration would break the law when the President is likely to defeat Democratic nominee George McGovern.
Through former CREEP treasurer Hugh W. Sloan, Jr. (Stephen Collins), Woodward and Bernstein connect a slush fund of hundreds of thousands of dollars to White House Chief of Staff H. R. Haldemanâ""the second most important man in this country""âand former Nixon Attorney General John N. Mitchell, now head of CREEP. They learn that CREEP used the fund to begin a ""ratfucking"" campaign to sabotage Democratic presidential candidates a year before the Watergate burglary, when Nixon was behind Edmund Muskie in the polls.
Bradlee's demand for thoroughness forces the reporters to obtain other sources to confirm the Haldeman connection. When the White House issues a non-denial denial of the Post's above-the-fold story, the editor thus continues to support them.
At the subtle climax, Woodward again meets secretly with Deep Throat, who finally reveals that the Watergate break-in and cover-up was indeed masterminded by Haldeman. Deep Throat also claims that the cover-up was not to hide the other burglaries or of their involvement with CREEP, but to hide the ""covert operations"" involving ""the entire U.S. intelligence community"", and warns that Woodward, Bernstein, and others' lives are in danger. When Woodward and Bernstein relay this to Bradlee, he urges the reporters to continue despite the risk and Nixon's re-election.
In the final scene, set on January 20, 1973, Bernstein and Woodward type out the full story, with the TV in their office showing Nixon taking the Oath of Office, for his second term as President of the United States, in the foreground. A montage of Watergate-related teletype headlines from the following years is shown, ending with Nixon's resignation and the inauguration of Vice President Gerald Ford on August 9, 1974."
49981df2afcb8a656e10eb87b3acd859783eb046	" Junior risk analyst Seth Bregman (Penn Badgley), his more senior colleague Peter Sullivan (Zachary Quinto), and trading desk head Will Emerson (Paul Bettany) watch as human resources staff of their (never-named) firm, along with building security, conduct an unannounced mass layoff right on their trading floor, at the start of an otherwise normal business day. One of the fired employees is Peter and Seth's boss, Eric Dale (Stanley Tucci), head of risk management on the floor. Dale attempts to tell his now former employer that the firm should look into what he has been working on, but the contracted human resources staff have no interest other than him quickly leaving the building. While Dale is being escorted out, he gives Peter a USB memory stick with a project he had been working on, telling him to ""be careful"" just as he boards the elevator.
That night, Sullivan finishes Dale's project and discovers that current volatility in the firm's portfolio of mortgage-backed securities will soon exceed the historical volatility levels of the positions. Because of excessive leverage, if the firm's assets decrease by 25% in value, the firm will suffer a loss greater than its market capitalization. He also discovers that, given the normal length of time that the firm holds such securities, this loss must occur. Sullivan alerts Emerson, who calls floor head Sam Rogers (Kevin Spacey).
These now key employees remain at the firm for a series of meetings with progressively more senior executives, including division head Jared Cohen (Simon Baker), chief risk management officer Sarah Robertson (Demi Moore), and finally CEO John Tuld (Jeremy Irons). Cohen's plan is for the firm to quickly sell all of the toxic assets before the market learns of their worthlessness, thereby limiting the firm's exposure, a course favored by Tuld over Rogers's strong objection. Rogers warns Cohen and Tuld that dumping the firm's toxic assets will spread the risk throughout the financial sector and will destroy the firm's relationships with its counterparties. He also warns Cohen that their customers will quickly learn of the firm's plans, once they realize that the firm is only selling the toxic securities.
They finally locate Dale, who had been missing after service to his company phone was deactivated. He has been persuaded to come in with the promise of a generous fee and the threat of having his severance package challenged if he didn't. Meanwhile, it is revealed that Robertson, Cohen, and Tuld were aware of the risks in the weeks leading up to the crisis. Tuld plans to offer Robertson's resignation to the board and employees as a scapegoat.
Before the markets open, Rogers tells his traders they will receive seven-figure bonuses if they achieve a 93% reduction in certain MBS asset classes in a ""fire sale"". He admits that the traders are effectively ending their careers by destroying their relationships with their clients. Meanwhile, Robertson and Dale sit in an office, being paid handsomely to do nothing for the day; Robertson vigorously defends herself that she warned of the risks although perhaps not loudly enough. Emerson keeps on closing the positions, but his counterparties become increasingly agitated and suspicious as the day wears on. After trading hours end, Rogers watches the same human resources team begin another round of layoffs on his floor. He confronts Tuld in the executive dining area and asks to resign, but Tuld dismisses his protests, claiming that the current crisis is really no different from various crashes and bear markets of the past, and that sharp gains and losses are simply part of the economic cycle. He persuades Rogers to stay at the firm for another two years, promising that there will be a lot of money to be made from the coming crisis. Rogers notices Sullivan meeting with Cohen; Tuld informs Rogers he will promote Sullivan.
In the final scene, Rogers is shown in his ex-wife's front lawn late at night, burying his dog that has died of cancerâthinking that since the dog had spent most of its life there that it should be buried there. His ex-wife comes out and reminds him that he doesn't live there anymore. She reassures him that their son, who is implied to also work on Wall Street, took a hit from the day's trading but will be okay. As the credits roll, Rogers continues to dig."
0cbfda3f5a75cbf26ba96f72e33e5559064e33ba	" Stewart ""Stew"" Smith (Robert Williams), ace reporter for the Post, is assigned to get the story about the latest escapade of playboy Michael Schuyler (Donald Dillaway), a breach of promise suit by chorus girl Gloria Golden, who has been paid to drop it. Unlike rival Daily Tribune reporter Bingy Baker (Walter Catlett), he turns down a $50 bribe from Dexter Grayson (Reginald Owen), the Schuylers' lawyer, to not write anything. He does pretend to be swayed by the pleas of Anne (Jean Harlow), Michael's sister, but then brazenly calls his editor with the scoop, appalling the Schuylers.
Stew returns to the house to return a copy of Conrad he had taken from the Schuylers' library. The butler, Smythe (Halliwell Hobbes), tries to make him leave, but Anne sees him. Stew surprises Anne by presenting her with Michael's love letters to Gloria, who had intended to use them to extort more money from the Schuylers. Anne offers Stew a $5,000 check, which he refuses. She asks why he reported the suit, but not the love notes. Stew explains that one was news, the other, blackmail. He later tells her he is writing a play. Intrigued, Anne wonders if she can turn him into a gentleman. She invites him to a party at the house.
They fall in love and soon elope, horrifying Anne's widowed mother, Mrs. Schuyler (Louise Closser Hale), an imperious dowager who looks down on Stew's lower-class background. Michael takes it in stride, telling Stew he's not as bad as everyone thinks. The wedding is scooped by the rival Daily Tribune, enraging his editor, Conroy (Edmund Breese). Even more upset is Stew's best friend Gallagher (Loretta Young), a ""sob sister"" columnist secretly pining for him. Conroy taunts Stew as ""a bird in a gilded cage."" Despite his bravado, Stew is upset by the implication he is no longer his own man, vowing not to live on Anne's money. However, she cajoles him into moving into the mansion and starts to make him over, buying him garters (despite his objections) and hiring a valet, Dawson (Claud Allister).
When the Schuylers hold a reception for the Spanish ambassador, Gallagher substitutes for the society reporter and chats with Stew. Anne is surprised to learn that her husband's best friend (whom she had assumed was a man) is actually a lovely young woman and treats Gallagher icily. Then, Bingy tells Stew the Tribune will give him a column if he signs it ""Anne Schuyler's husband."" Insulted, Stew punches Bingy when he calls him Cinderella Man. The next morning, Mrs. Schuyler is aghast to find Stew's brawl has made the front page.
Wrestling with his play, Stew invites Gallagher and another friend, Hank (Eddy Chandler) from Joe's. They arrive with Joe and several bar patrons in tow and even Bingy shows up to apologize. A raucous party ensues. Meanwhile, Stew and Gallagher ponder the play, deciding to base it on Stew's marriage. Anne, Mrs. Schuyler, and Grayson return as the party is in full swing. Stew apologizes for letting the party get out of control, but protests that he can invite friends to ""my house."" Anne replies, ""Your house?""
Stew returns with Gallagher to his own apartment. Along the way, he gives a homeless man his expensive garters. Grayson stops by to say Anne will pay him alimony, whereupon Stew punches him (earlier, Stew had warned Grayson that his twentieth insult would earn him a ""sock to the nose""). Stew tells Gallagher the play could end with the protagonist divorcing his rich wife and marrying the woman whom he had always loved without ever realizing it. Overwhelmed, Gallagher hugs him."
89310fab440108c81d027f0407ad1a8ed20f9c24	" A Frenchman named Marcelo Desonyers travels to Argentina in 1870, and he marries the elder daughter of Julio Madariaga, the owner of a ranch. Eventually Marcelo, his wife, and his children Julio and Chichi move back to France and live in a mansion in Paris. Julio turns out to be a spoiled, lazy young man who avoids commitments and flirts with a married woman named Marguerite Laurier.
Meanwhile, Madariaga's younger daughter has married a German man named Karl Hartrott, and the Hartrotts move back to Germany. The Desnoyers family and the Hartrott family are thus set against each other with the onset of World War I. However, Julio Desnoyers initially shows no interest in the war, while Hartrott's family eagerly supports the German cause. It is only after Julio's lover, Marguerite, lavishes attention upon her husband after the latter is wounded in battle, that Julio is moved to participate in the war.
While young Julio Desnoyers serves as a soldier, the aging Marcelo Desnoyers leaves the shelter and returns to his mansion, where he watches the German soldiers advance and eventually plunder his belongings and eat his food. At last the French soldiers push back the German soldiers, and Marcelo chooses to defend a German man who had earlier spared Marcelo's life.
Julio Desnoyers returns to his family, wounded in a battle but praised for his valour, and he quickly sets out again to continue fighting. At the close of the war, Julio is killed in battle. The novel ends with Marcelo at his son's grave, regretting that if his daughter, Chichi, has any children, they will not bear the name ""Desnoyers."" Marcelo finds that Hartrott, too, has lost a son in the war."
649b0226185fca8a5bbfedb6fa0c2688c271f8be	" Written by Alexandre Dumas, fils, (1824–1895) when he was 23 years old, and first published in 1848, La Dame aux Camélias is a semi-autobiographical novel based on the author's brief love affair with a courtesan, Marie Duplessis. Set in mid-19th century France, the novel tells the tragic love story between fictional characters Marguerite Gautier, a demimondaine, or courtesan, suffering from ""consumption"" (tuberculosis), and Armand Duval, a young bourgeois. Marguerite is nicknamed la dame aux camélias (French for 'the lady of the camellias') because she wears a red camellia when she's menstruating and unavailable for making love and a white camelia when she is available to her lovers.
Armand falls in love with Marguerite and ultimately becomes her lover. He convinces her to leave her life as a courtesan and to live with him in the countryside. This idyllic existence is interrupted by Armand's father, who, concerned with the scandal created by the illicit relationship, and fearful that it will destroy Armand's sister's chances of marriage, convinces Marguerite to leave. Up until Marguerite's death, Armand believes that she left him for another man. Marguerite's death is described as an unending agony, during which Marguerite, abandoned by everyone, regrets what might have been.
The story is narrated after Marguerite's death by two male narrators, Armand and an unnamed frame narrator. Some scholars believe that Marguerite's illness and Duplessis's publicized cause of death, ""consumption"", was a 19th-century euphemism for syphilis. Dumas, fils, is careful to paint a favourable portrait of Marguerite, who despite her past is rendered virtuous by her love for Armand, and the suffering of the two lovers, whose love is shattered by the need to conform to the morals of the times, is rendered touchingly. In contrast the Chevalier des Grieux's love for Manon in Manon Lescaut (1731), a French novel by Abbé Prévost referenced at the beginning of La Dame aux Camélias, Armand's love is for a woman who is ready to sacrifice her riches and her lifestyle for him, but who is thwarted by the arrival of Armand's father. The novel is also marked by the description of Parisian life during the 19th century and the fragile world of the courtesan."
0751de79bc881dbad592bd427a0c2fe65ed3618f	" In 1883, Alfred Russel Wallace wrote a tribute to Darwin (entitled 'The Debt of Science to Darwinâ) who had died the year before. One such tribute appeared in 'The Century', an illustrated monthly magazine. As part of this article he included a summary of Darwin's work relating to this book (p.Â 428):
""The cowslip (Primula veris) has two kinds of flowers in nearly equal proportions: in the one the stamens are long and the style short, and in the other the reverse, so that in one the stamens are visible at the mouth of the tube of the flower, in the other the stigma occupies the same place, while the stamens are halfway down the tube. The fact had been known to botanists for 70 years, but had been classed as a case of mere variability, and therefore considered to be of no importance. In 1860 Darwin set to find out what it meant, since, according to his views, a definite variation like this must have a purpose. After a considerable amount of observation and experiment, he found that bees and moths visited the flowers, and that their proboscis become covered with pollen while sucking up the nectar, and further, the pollen of a long stamened plant would most surely be deposited on the stigma of the long styled plants, and vice versa. Now followed a long series of experiments, in which cowslips were fertilised with either pollen from the same kind or from a different kind of flower, and the invariable result was that the crosses between the two different types of flowers produced more good capsules, and more seed in each capsule; and as these crosses would be most frequently effected by insects, it was clear that this curious arrangement directly served to increase the fertility of this common plant. The same thing was found to occur in the primrose, as well as in flax (Linum perenne), lungworts (Pulmonaria), and a host of other plants, including the American partridge-berry (Mitchella repens). These are called dimorphic heterostyled plants.
Still more extraordinary is the case of the common loosestrife (Lythrum salicaria), which has both stamens and styles of three distinct lengths, each flower having two sets of stamens and one style, all of different lengths, and arranged in three different ways:
A short style, with six medium and six long stamens;
A medium style, with six short and six long stamens;
A long style, with six medium and six short stamens.
These flowers can be fertilised in eighteen distinct ways, necessitating a vast number of experiments, the result being, as in the case of the cowslip, that flowers fertilised by the pollen from stamens of the same length as the styles, gave on the average a larger number of capsules and a very much larger number of seeds than in any other case. The exact correspondence in the length of the style of each form with that of one set of stamens in the other form insures that the pollen attached to any part of the body of an insect shall be applied to a style of the same length on another plant, and there is thus a triple chance of the maximum of fertility....There is thus the clearest proof that these complex arrangements have the important end of securing both a more abundant and more vigorous offspring.â
Observations and experiments still continue today to further the understanding of this phenomenon instigated by Darwin in this original and seminal work."
033a2dae1f69467127ee67acdf39fa97c031c57b	" Mountaineer and adventurer Aron Ralston (James Franco) drives to Utah's Canyonlands National Park for a day of hiking. On foot, he befriends hikers Kristi (Kate Mara) and Megan (Amber Tamblyn), and shows them an underground pool. After swimming, Aron parts ways with the hikers, and continues his hike through a slot canyon in Blue John Canyon. While climbing down, he slips and falls, knocking loose a boulder which flattens his right hand and wrist against the wall. Unable to move the boulder, he tries calling for help but realizes that he is alone. He begins recording a video diary to maintain morale, and uses his pocket knife, with his left hand, to chip away parts of the boulder in order to free his trapped arm. He rations his food and water, in order to survive the ordeal.
After many hours of chipping away at the boulder, he realizes he is not getting any closer to freeing himself. He sets up a pulley system using his climbing rope to try and lift the boulder, to futile attempt.
Days after being trapped, Ralston considers using his pocket knife to cut himself free, but finds the dull blade unable to cut bone. With no water, he is forced to drink his own urine. His vlogs then becomes desperate and depressed. He hallucinates about escape, relationships, and past experiences, including a former lover (ClĂŠmence PoĂŠsy), family (Lizzy Caplan, Treat Williams, Kate Burton), and the hikers he met earlier. He starts seeing the boulder that has trapped him as his destiny.
Ralston realizes that by his knowledge of applying torque, he can break the radius and ulna, letting him amputate his arm in order to escape. He fashions a crude tourniquet out of CamelBak tube insulation, uses a carabiner to tighten it, and cuts tissue soon to his success. He wraps the stump of his arm to prevent exsanguination and takes a picture of the boulder. He then rappels down a 65-foot rockface using his other arm, and drinks rainwater from a small pond in the hot midday sun. During his miles-long hike for help, he stops to admire the Great Gallery at the Horseshoe Canyon (Utah). He meets a family on a day hike, who alert the authorities to Ralston's presence, and a Utah Highway Patrol helicopter is dispatched. Ralston is taken to a hospital where he recovers, and is fitted with a prosthesis, and continues his hobbies of climbing canyons and mountains, along with starting a family of his own."
