id	query	answer
46cf28a716c255263334b3baca9fc759c44d8766	What does the Major use to attack Chango?	A pen gun.; a pen gun
f0a45e1d3a587d322c7629727fd448303fb82a43	What did Sylvia's old college friend choose to do rather than pursuing a career?	She chose to get married and have children. ; Get married and raise a family
592a08c6df0cd1891e0e1c37111b734675d5dc60	How did Mr. Cobb behave at the Hospital? 	He mistreated the medical team.  ; badly
7415641a4aa3cc0b71657573197bfc9d48694e03	What form of transportation did Max use to escape?	An Bus; A bus 
d0f0333ad7eb04d248ae1a8a6b69e68b7b359f76	Who changes the rabbit into a real rabbit?	a fairy; A fairy
e070825c9e6a08429ba971f12745f7b29c7a41b1	How does Arcite die?	Arcite is thrown from his horse; He is thrown from a horse.
1625d7038823e0ca81c39675c3ea7fe31f7fbe04	How is Sandy resurrected?	Through the strength of Jack and Jamie's and their friends' dreams.; Jamie's friends believe and their dreams overpower him
432cfe548f1f51045f8cba8f8f50e4e0e47a0771	After Maurice left, what happened to Honorine? 	She passed away ; She died.
991780bf52a8a596a25465dff974db075088e2d7	Where is Susan Cushing from?	Croydon; Croydon
16d75b7fbd36243f7315988d26324a1e6e0155ad	What does Terrence tell Carl at the end?	There is no convenant.; A covenant never existed
ff53fd53a94f343b8365915645b79d7ad5b1528e	What is the narrator's occupation in the story?	A traveling automobile recall specialist.; He is an auto recall specialist.
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d	What does Hanna do when he pulls McCauley over on the freeway?	Hanna invites McCauley to have coffee with him.; Invites him for coffee
9e7069f1b5816540f2eb1cc238c59439f7c4345c	What does Benedict's men find inside the duffel bags driven by the remote controlled car?	Flyers.; flyers advertising prostitutes
7031a0234b0276ee29ed4b024419f7c01d4bf5b6	Who is the white defendant that distric attorney Weiss chooses to implicate?	Sherman McCoy; sherman
66b2162649e752116e5f975088df9d7ee7f8401a	What happened at midnight?	A figure in a dark, blood stained robe appeared.; A mysterious masked man appeared.
cb456274929bf53ca118acacea7175e9f25c99bd	Who started the fight with Prewitt?	Galovitch; Sergeant Galovitch
44287f57e8bc2b329dbd0d5750e6747781ae50fe	What does Neverbend plan to preach to the English about?	the steps needed for the progress of mankind; His step in the progress to mankind 
4b85f49075da3786517b24ad42a0ee430fb21fe5	Why does Linda decide against living with Pleydon?	Because he is too old and their love wouldn't be in the romantic sense.; She realizes that she cannot live with a sick, dying man who does not romantically love her 
649b0226185fca8a5bbfedb6fa0c2688c271f8be	What makes Marguerite virtuous?	her love for Armand ; Her love for Armand
1f3c4d904224764b1305205dfa99eae47c63240b	Where do the Englishmen find Sir Henry's brother?	Stranded at an oasis with a broken leg.; Stranded in an oasis.
b2ea4fae4188c23a975683eaeb43ed2ac698f7c0	What does the lama achieve once he finds his river?	Enlightenment; Enlightenment.
