id	query	answer
3c3dcc7b23c9b81de635e563ed1ee52b52a895c0	In what army are the un-military British excused from serving in?	The Kaiser's armies; The Kaiser's 
5fc06920c10c190e4abcbe8f68803a7025cc0889	Who was Sophina?	Grant's girlfriend.; oscar grant's girlfriend
3640746739b8863310dc276ab1948c18a94d8803	What do they discover about Kyle?	That he is a talented wrestler.; He is a good wrestler
aa53a1867711a3dd8ff9f8f29266398e420813d3	Where are Cid and Young Joe when Jesse shows up?	In an underground tunnel; They hid in an underground tunnel
ae81f68f2aa2045e9da71e39f1b5b74a8c5329cf	What becomes weakened by colloidal dust?	Surface tension of metals; Metal surfaces.
fa9531b58c04a11f5d31e87cc73e797f58d6894c	Which quarterback is kidnapped at the end?	Dan Marino; Marino
c0df5742c269f5e2563a555d1d03cef454b4649f	Who kills Diccon?	An Indian.; A hostile Indian.
6963fca5fa63778623b93b656f9da7389aad065c	Who knows that Hedda's gun was used by Eilert?	Brack; Judge Brack
456e5a330da462f6fca6766a90b843e47d288e9c	Who proposed to Deruchette?	Ebenezzer Caudry.; Ebenezer Caudry.
881864af5141f858b87a317c0858e4c10406788a	What was Black Hat before he led the vampires?	A priest; A Priest.
163d8710f230dc6730ce9feb4019d1e16842ee3b	Where does Naula hide the final piece of the crown?	in a book; In one of Abe's books.
cd7293ae0976c565c01f87539cf06fccb585d7d8	What did Komoko find on the land that he leased from Smith?	Water.; water
4b166acdb5c93528532ddc12451c7f0befb8d212	What is the name of Bruno Frye's mother?	Katherine.; Katherine 
fe7390fde95a9ec85a35e2de5a869fcc7c7f1a34	What is Ike's cat's name?	Italics; Italics
eb6c58c2168f0a9e60f23b8107d17be92503030f	What are the areas explored in the story known as today?	Kejimkujik Park and Tobeatic Wilderness; Kejimkujik Park and Tobeatic Wilderness Area.
8e685836dcef55b25fe2e6622076dbe53844b161	What forced Sybella's parents into poverty?	Her father's drinking.; drought bad business 
64e583bde7ea2b98c40e03756a32ce31be036af2	What convinces Dmitri that he has the real Anastasia?	Her recollection of a young boy saving her years before; She vaguely recollects how a boy saved her ten years ago.
22d80f4823a64ed818417fcf2d172222f0f18bbf	Why does Marcus decide to rebel against the DHS?	He feels his civil rights and personal liberties are being violated.; he was wrongfully imprisoned
59d82e2667b4cbdae7869774d63ece4bb4176481	When did Haw destroy the equipment in his lab?	after learning that Laura was engage to Hector and him; when his heart was broken
ac807f3965591f8e23d3565d473fbf5e77264fd7	What does Hero show the bar patrons to make them take him seriously about the danger?	The head of a repulsive creature.; The head of a repulsive creature.
2caed8cd33002af756cef1c108986384a0b7066b	What did Harold and Kamur ride after smoking marijuana?	A Cheetah.; An escaped cheetah. 
166e4604f74997601e16793ca5af0f54bc2cc81c	What is the last thing the apartment residents do?	They get in their cars and drive away ; They leave in their cars 
77ff5a0eaa9923661d7f27d9a1be40beb64807bc	What is Cathy's job?	staff script reader; script-reader
c4e227aa88c6fbc0c021532499db1b30c16f0eaf	What is Guido's reaction to Beatrice killing the Duke?	He is appalled; He is upset and breaks it off with her
0c112bc4c07ded9222ae308d1f20591b76aed4de	Why were the slaves massacred?	So they couldn't spread the word about vampires.; So that they could not reveal the truth about Louis and Lestat.
0a93e857113efca05c6274e7af3ba4f03a023b9f	What are the thieves after?	bearer bonds; high value bonds 
57ac4ad4ce16d18533df2e32d3686aebc7419dba	What building is tampered with that offends locals?	Historic firehouse; a historic firehouse 
b5e8bad0c0071c50ed8594102c9988250c2c03b1	How are Scudamore and Amoret reunited?	Amoret was rescued by Britomart; looking for his captured lady Amoret
418694b1eaa0733da2c3605495c0d84901f522b0	What happens to Oscar at the home of Florentine Cabriolle?	He gambles away 500 francs that were designated for a legal matter.; Loses 500 francs that were not his.
19eb3ac68eb7fcdc2164cfe0c635c595fed660d5	Who was Debbie Salt?	Billy Loomis' mother; Billy Loomis' mom.
92134f0c9dc82e7b2cc9afd5896ae8dc7d6d088e	How many children does Lady Thatcher have?	She has 2 children.; Zero.
60a79c800ff1d55aedfba99108890ecc3632c456	Who does Snake fight to the death?	Slag; Slag
37aa5b62014dc2e1e6f7202fed40f51c34dd680d	Who was killed by Sir John Foster?	Julian Avenel.; Julian Avenel
6bd5faba6a0bd427374f7e20d3044fbf09b5d1a8	What school does Peter attend after the war?	Prince of Wales School in Johannesburg.; Prince of Wales School.
dff49153b40fe907cde5316af4b1629ceae923d9	What is Jarvis' occupation?	He is a chemist; Chemist.
0751de79bc881dbad592bd427a0c2fe65ed3618f	What part of the bees and moths became covered in pollen?	Proboscis; proboscis
c34ad662cc69dd30db3835fa93b9954a7b0f7b18	In what state is St. Augustine?	Florida; Florida.
84248647b95fced93f041f931426523b7d25d226	Where does the pipe come from that Alex uses to impale Roberts?	The ceiling.; from the ceiling
150683ab8156bdc78ebd23a2ed7f7e265b780bd0	Who does Sam speak with at Ida's party about his transfer?	Mr. Helpmann; Deputy Minister Helpmann.
e1a5be12e8c521868c2f4c7485797ffa7e0acd9d	Who does La-Writ send as a messenger to deliver his challenge to the judge?	Cleremont.; cleremont
15e5cdd93340ecf4ab97248e15f3870eb26bf10b	How does Spock incapacitate to gain acces to the engine room?	The Vulcan nerve pinch.; vulcan nerve pinch
d180ebbb2e1e14572d6bb586e26318056b1ce37c	What punishment was Michael given by Feofar?	Feofar decides to blind Michael.; To be blinded
d048b2940e89186fca8f3d727d92757c21e3b476	Where specifically was this old abandoned house? 	On Benefit Street. ; benefit st
2c882e70f540d28c884fcedd83fc2c893c6dcbdf	What does Jennie do after her daughter passes away?	She adopts two orphans; Adopts 2 orphans and continues to love Kane.  
c2b895e8b32548747637d328a8fc77ad705e55f6	Hermann expresses that if he doesn't marry Dorothea, he will what?	Remain a bachelor.; stay single
424b3b5481b6fa3c49c83f8c347e7ccac9ceb163	How do we, the reader, first learn that Wolfe was arrested?	Dr. May reads about it in the newspaper.; The newspaper
ab78e645d43e4f56ca208ef590f0a4662b4d8efb	What is the name of the prison Bane releases the inmates from?	Blackgate Penitentiary. ; Blackgate Penitentiary. 
ecdd7d239978d8bdf03d163b4fb3a5e97518b715	What did Dick try to teach the shipwreck survivors?	how to be sailors; to be sailors in order to reach south america
84327ef84b778b11993de1d2e3f6fb04eeb09fff	What holy weapon has Mammon apprehended?	The Spear of Destiny.; spear
b80a117242fa3276dd8681007919fcae8770bd6e	What does Joe learn of French Pete?	French Pete is involved with criminal activity. ; he is involved in criminal activity
a8545e0060efd59a881c3724570efba89e2cd261	What does Ash have to retrieve in order to return to his time?	the necronomicon ex-mortis; Necronomicon ex-mortis
9c2bb97cbbb8dca3fb1d85fbe1abeb27ad046615	Why does Caesar wash, dry, and iron the money?	To remove the blood; To remove the blood
3eb3061b6357ba45ae3dc9d670e41b43f0299f01	Where does Stark take the missle through the wormhole?	To the Chitauri fleet; He's taking it toward the Chitauri fleet
d75d97726ac6b229b809cb7e482606024c2e564a	How many syringes of morphine does Louis bring to Jud's house?	Two.; Two
604973478b38d259afd9aa46cfcf3ef652e4e41e	Whose nickname is Daisy? 	Annie Miller. ; Annie Miller
f19862b256b0ce49a796c88b2c80399b9f24d302	What hinders Charley and Katie's relationship?	Charley is already engaged and Katie's mother forbids him from speaking to Katie.; Katie's mother 
84732f85b51dfbfed6c40f2bc1e35e1697eade8e	Who is the pilot for the ship?	Major Donald West.; U.S. Space Corps Major Donald West
1b3fb96b3e151a856c7846d05cfca170408dce08	Why does Valentina willingly give her soul to Mr. Nick?	She is angry at her father for his lies and deceit; She is angry with her father for trading her away and not telling her about it.
6fc88efa5357b958b072332a14efd3e33cf4e4c0	Why did Dionysus go to Hades?	He was going to bring Euripides back from the dead.; to bring Euripides back from the dead
b3a3aa9733be6502e3df5dcd1658f2d436635fa9	What is the name of Mr. Brumley's house?	Black Strand; Black Strand
e684bea91a5d46223fca2aaf2b3584f49308ac55	In Trotty's visions, what does he see Meg contemplating?	He sees Meg contemplating suicide with her baby by drowning.; Murdering her baby and killing herself
c41dba67fbd19688656d31ccffec145c12f15b94	What language does Columbus teach the natives?	Spanish.; Spanish
269ffd1de413e4556ac009ffabd821a869fdf75d	What did Pascal and Coltilde have?	A baby boy; A son
48e4a4f877a7b8844de565b4dc1269db01803435	What does Mattie place on Felix's casket?	A picture of Mary Lee; A picture of Mary Lee
d77afdf7d65249464b16a9643ff88ce36f6ef781	What name does Michael call Jesus Christ?	King Messiah; King Messiah 
47b4955fca17af174e1a45b7ff981ce68f3625f8	What did the wheel do to the stones?	The wheel grouded the stones to dust; Crush them into dust.
