id	query	answer
0029bdbe75423337b551e42bb31f9a102785376f	Who did Percival reunited with?	Minnie; minnie
00936497f5884881f1df23f4834f6739552cee8b	Where was the starting point of the trip?	England; Zanzibar
015c99b411cef291d31cd5543c7ae957edebe6b4	Why does the Enterprise travel to Earth?	For repairs; For repairs.
01aa10d75658840a478ede17631dba875651c370	There is a fundamental lack of what between people?	Communication; Communication.
01dd08c2a57dca20d4925177a4b4de509fdf71fb	Who confirms the identity of Bin Laden's corpse?	Maya ; Maya
02ec0dda4d6b545c8a180b4e66108f32acc7fefa	Who does Dr. Forth convince to be hypnotized?	Dr. Jay Allison; Dr. Jay Allison
032bcfd170a98fb5ed752c1d25b678b8589de7d7	What was Rand dying from?	Aplastic anemia ; a rare blood disease
03a048c35b81d8a422e0efd0d5de016b63659869	Arsene Lupin was also known as?	Louis Valmeras; Under a different name Louis Valmeras in hiding
0434145d9284423a36a714fc55246ed0bdc39a82	What does Marty's mother do in the fear of abandonment?	Marty's mother belittles Clara; His mother belittles Clara. 
04c16e307a71d8af0af39d10542144f7c059f17c	What types of states does Kant talk about? 	Republic; Republican states with representative governments and where the legislature is separate from the executive. 
04dc9134485dee27252734f24c2a3b3dd397b8a4	How many people are dead by the end of the story?	Six; 3
05000d20b404b4f3c6c34127dc3836fecad8f134	In which social occasion does the drama unfold?	A Masquerade Ball.; A masquerade ball
050f88f6c8fed44ecbd7658b0f450fb705ce368d	Why did the man not die when he jumped off of the cliff?	Because his heart was pure.; His heart was pure
0540453463a383489fdcdbb41ae4264e5ca866a2	What do the aliens lack in their technology?	A reliable gravity drive.; They lack a gravity drive.
05d2346e34d9a4140e0d30ee311c21aab82bc850	What is Friend William?	Quaker Surgeon; A Quaker surgeon
05f1a40c41101a714a3ace0359d4a550d908742e	Which of the Lapham's daughters is described as being more intelligent?	Penelope; Penelope
0619e886fb3167a3d70f4d191754a82b3f9ecf7f	What is Carver's title after Sir Ensor dies?	Lord of the Doones; Lord of the Doones
061c5dd1dc117e3161f1f0a7794b807932ef4675	HOW COULD DRUMMOND'S VICTIMS HAVE BEEN SAVED?	IF THEY RECEIVED PROMPT ACCURATE TREATMENT; If they received the right treatment right away 
0772d79247ec3faf8f25765d731b0310a30517ff	Where does Rey find Luke Skywalker?	The planet Ahch-To; The planet Ahch-To
08172f313a4053b150a6c20310b6ee58f6968b76	Where does Mulan lure the lead Hun to battle him one-on-one?	The roof of the palace.; She lures him onto the roof
084e3e9625f032d6fc7454e94841a6045a0454e8	Where does George Cranleigh own land?	Surrey, England; Surrey.
0b5d946ecfbdeb6629ae3f8cd42f4c499892e4ce	Who married Joseph Lebas?	Augustine's sister Virginie. ; Augustine's older sister Virginie
0b9f563bad33316d94f4f339fb151a4b33f25c3f	Why was Floyd and the others in a Moonbus?	to go to see the artifact; To investigate a recently found artifact.
0bae1f959cf453f77d465ab3d7de58735c3cea38	Who wins the award for top pilot during graduation from the Top Gun academy?	Iceman; Iceman
0bb7c49bd644d0a4c0ea9fd6239e84c07013a811	"Rather than spending time with his family, what did Bill prefer to do ""day and night""?"	Go carousing with his cronies; Carousing with cronies
0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7	Where does Justice work and what does she do?	Justice works at the beauty salon and does hair. ; she works at a hair salon, styling hair
0bec3c185ffe7f716108fce8bd4a1558d4cd4a54	Who else besides her sister does Billy tell her story too?	The police.; The police
0c159ba273b7078c2fcd87edb32016c97e699b55	How does the famer's wife die?	She falls through rotten floor boards at the sawmill; She fell through rotten floorboards in the sawmill.
0e386fb9ead81ac7dbda4798564ab2f7968234c8	Who does Robert believe he is at one point when he's delusional?	Peter the Great of Russia; Gil-Martin.
0e453816e78ebb5abeaf4ea5dc283e1455fd57f9	Who does Eugene see years later?	Tatyana.; Tatyana
0edf4e67b33906e690dc45a9abae06c34ca3e13a	How long did the survivors live in the forest?	Two years; Two years
0fe1c42d024d1d3f001a9aadb400512ecbda2b9f	How does Lena get injured?	Barry's car is rammed by the brothers; Car accident
0fec426130719e5a0ede16a2944f437415917462	What items do worms swallow to aid in digestion?	Stones; stones
105672e2bb1bcc9dd50e90822ca49a66876ac198	Where do the Virginian and Molly travel to?	Vermont.;  Traveled to the mountains and to the East and back to Vermont.
10c992498cf8bea350d6209b4b8f1d0437440694	What does William Cecil use to blackmail de Vere into marrying his daughter?	He uses the fact that de Vere murdered a servant.; The fact that he murdered a servant lurking behind a curtain.
11ac9bf7f55ee9d40df3c0ba117c6914dd6ed9e6	Why was Raffle always invited to huge social events at the beginning of the story?	He was a famous cricketer ; because he was a famous cricket player
11bea904fdb02ad88a14a724e901f819e952784f	"Why did Gadsby help form the ""Organization of Youth""?"	He was shocked at how his hometown was declining.; To improve the living standards of the town and rally the civic spirit of the pepople. 
1293e302d550212888b015208783397e6f78296c	What happened to Bower's wife?	She divorced him, stayed on Earth, and disappeared with the rest of Earth.; She divorced him and stayed on Earth
12d6955c88a3d48c00cde7853e47a4dcd5020b60	What is the title of this story?	Elsie Venner; Elsie Venner
139004cd2411c6909a752ecf897d326ed8bf419c	What order does Willard leave for Chef in case they do not return?	Call for an airstrike; Call in an airstrike.
14d3ae5cbf989a9176c4ceda975b193338a2de84	One of the jokes of the Novel is that Tristram can not? 	Explain anything simple.; cannot explain anything simply
1508452704b5829941b98aeee2eeba192f5beae5	Who tried to kill Martin in the convenience store?	Felix Lapoubelle.; The Grocer.
167ec212289f7c34823629931c967090650c10dc	What is the name of the undercover Secret Service agent?	Isabella Molina; Isabella Molina.
17423260aeaf5dede7a635b123708948eaa7ef4a	Which wish leads to the gamekeeper meeting the children's housemaid?	their wish for wings; They wished for wings
1915f92c4152b867fa9bee83e61b901983f8a3ea	What does Philip do while fighting in the Napoleonic Wars?	He saves Charlie's life.; He saves Kincaid's life.
1a020bc35fe8ff93de0a570f7cf70e958880241c	What causes Marianne to fall ill?	She goes outside to see the Willoughby's estate when it begins to rain and ends up getting deathly sick.; Being caught in a rain storm.
1b0fb60ae65cb97ab4278e4296de48583fdaa269	What happens when Dick Kanipsia goes to visit his friend Harry?	He finds that Harry is dying from a gun shot wound.; he is shocked to see Harry get shot
1b458192e39bd7fdf10e69d6b975844a211e72a9	Why did the Brits attack the village?	To retaliate against the natives for the loss of the Arangi; To get back at them for the loss of the ship.  
1b48982220584874f6abed587219f6d73e85abd8	Where did Simon state that war was unavoidable?	On an interview with BBC radio.; Middle East
1bf46ea21ef903f8d75bd213ea9cc39ae8f4be18	Why does Sir Thomas Waldron's death come as a surprise to everyone?	Because news of his illness was kept secret; He was suffering from a terminal illness and it was kept from everyone.
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a	What two parties have a long standing feud in the story?	The Werewolves and the Vampires; vampires and werewolves
1cb9eac7e7352cd7cac800000c09c244ae2ce13f	Who else do the Lensman recruit to their cause?	They recruit a great deal of aliens, represented by a great many different species.; representative members of as many species as possible from the bizarre life forms they meet on alien planets
1cd10ef62761249191e07136775470b7f72cfcec	What does Emil plan to do with the tape of him killing Flemming?	Emil plans to sell the tape to Top Story; Sell it to Top Story
1d6b5926027e0ce1ae376bbd4798fa6a93c7a548	How long was Henry in jail for when he was an accomplice to the bank robbery?	18 months; Eighteen Months
1f72c35054e8f6072d17032074496f0a60ff493a	What does this tragedy encourage humans to do?	Put a higher value on life; humanity places a higher value on life
1f8e03c7b6a6864108933fba1906455f78e4cfa6	Which war is this story referring to?	World War Two.; World War II
20116217c4fc04e5d6713f5441b5472c803d5142	What holiday does everyone celebrate together?	Christmas; Christmas
2101dfafc654880e081ab5d54326a0fc9d4809f2	Who is the princess of Bulika? 	Lilith ; Adam's first wife, Lilith 
21140bb7b7f2e0c9ccadf799b60b577685c42647	How does Paul defeat the Emporer's soldiers?	He rode in on sandworms and used the sonic weapons he taught them to build; Using his Fremen warriors
216a7a5535571aae2842944a3529fae1f664cb0f	Lebat says he will free Marie in exchange for what?	Her promise to marry him; Her marrying him.
21f3fcbf22d864a5d6a0c3830df19459d402706c	What does the missionary believe the Auks are when he finds them?	Noble pagans; Pre-Christian pagan humans. 
2209f93b0dc6420ccff949132228eebef584f72b	Why was Chichikov previously fired from his mid-level government position?	Corruption.; corruption
23caf2203f0ae5aebe42e9c636222ba6d3e3c433	What happens to Powers and Kensington when they enter the Virtucon Headquarters?	They are caught by Random Task.; They are placed in a death trap
